onset	duration	trial_type
0	12	baseline
12	12	people
24	12	baseline
36	12	forest
48	12	baseline
60	12	traffic
72	12	baseline
84	12	people
96	12	baseline
108	12	traffic
120	12	baseline
132	12	forest
144	12	baseline
156	12	traffic
168	12	baseline
180	12	forest
192	12	baseline
204	12	people
216	12	baseline
228	12	traffic
240	12	baseline
252	12	forest
264	12	baseline
276	12	traffic
288	12	baseline
300	12	people
312	12	baseline
324	12	traffic
336	12	baseline
348	12	forest
360	12	baseline
372	12	people
384	12	baseline
396	12	forest
408	12	baseline
420	12	people
432	12	baseline
